Date,Animal
2020-04-01,Barred Owls
2020-04-10,Barred Owls
2020-04-16,Barred Owls
2020-05-02,Barred Owls
2020-05-17,Herons
2020-05-19,Herons
2020-05-22,Herons
2020-05-23,Herons
2020-05-25,Herons
2020-05-30,Herons
2020-06-01,Herons
2020-06-04,Herons
2020-06-12,Herons
2020-06-14,Herons
2020-06-15,Herons
2020-06-23,Herons
2020-06-28,Herons
2020-06-29,Herons
2020-05-06,Ducklings
2020-05-23,Ducklings
2020-06-26,Ducklings
2020-06-30,Ducklings
2020-04-27,Pileated Woodpeckers
2020-06-01,Pileated Woodpeckers
2020-06-06,Pileated Woodpeckers
2020-06-14,Pileated Woodpeckers
2020-04-28,Muskrat
2020-05-17,Muskrat
2020-04-20,Rabbits
2020-04-28,Rabbits
2020-05-01,Rabbits
2020-05-07,Rabbits
2020-05-08,Rabbits
2020-05-09,Rabbits
2020-05-10,Rabbits
2020-05-12,Rabbits
2020-05-13,Rabbits
2020-05-14,Rabbits
2020-05-17,Rabbits
2020-05-19,Rabbits
2020-05-20,Rabbits
2020-05-21,Rabbits
2020-05-22,Rabbits
2020-05-23,Rabbits
2020-05-25,Rabbits
2020-05-26,Rabbits
2020-05-08,Swans
2020-05-11,Swans
2020-05-12,Swans
2020-05-13,Swans
2020-05-21,Swans
2020-05-24,Swans
2020-05-25,Swans
2020-05-31,Swans
2020-06-11,Swans
2020-07-08,Swans
2020-07-11,Swans
2020-07-12,Swans
2020-07-14,Swans
2020-07-25,Swans
2020-07-28,Swans
2020-08-09,Swans
2020-08-10,Swans
2020-08-12,Swans
2020-04-24,Squirrel carrying a smaller squirrel
2020-05-18,Hawks
2020-05-23,Hawks
2020-05-24,Hawks
2020-06-06,Hawks
2020-06-08,Hawks
2020-06-14,Hawks
2020-06-16,Hawks
2020-07-02,Hawks
2020-07-04,Hawks
2020-07-05,Hawks
2020-08-02,Hawks
2020-08-08,Hawks
2020-08-09,Hawks
2020-08-12,Hawks
2020-08-16,Hawks
2020-08-19,Hawks
2020-08-24,Hawks
2020-09-01,Hawks
2020-09-03,Hawks
2020-09-05,Hawks
2020-04-01,Deer
2020-06-13,Deer
2020-08-15,Deer
2020-09-12,Deer
2020-05-03,Snakes
2020-05-16,Snakes
2020-05-17,Snakes
2020-05-31,Snakes
2020-06-02,Snakes
2020-06-14,Snakes
2020-06-28,Snakes
2020-07-03,Snakes
2020-07-17,Snakes
2020-09-13,Snakes
2020-10-10,Snakes
2020-05-08,Cygnets
2020-05-11,Cygnets
2020-05-12,Cygnets
2020-05-13,Cygnets
2020-05-25,Cygnets
2020-05-31,Cygnets
2020-06-11,Cygnets
2020-07-08,Cygnets
2020-07-25,Cygnets
2020-07-28,Cygnets
2020-08-10,Cygnets
2020-08-28,Cygnets
2020-09-01,Cygnets
2020-09-08,Cygnets
2020-09-09,Cygnets
2020-09-10,Cygnets
2020-09-11,Cygnets
2020-09-22,Cygnets
2020-05-09,Goldfinches
2020-05-10,Goldfinches
2020-08-25,Goldfinches
2020-07-03,Goldfinches
2020-07-05,Goldfinches
2020-08-07,Goldfinches
2020-08-08,Goldfinches
2020-08-09,Goldfinches
2020-08-10,Goldfinches
2020-08-12,Goldfinches
2020-09-05,Goldfinches
2020-05-09,Swallows
2020-05-12,Swallows
2020-05-11,Goslings
2020-05-24,Goslings
2020-05-25,Goslings
2020-05-14,Beavers
2020-05-27,Beavers
2020-07-01,Beavers
2020-05-14,Bats
2020-08-05,Bats
2020-08-06,Bats
2020-08-13,Bats
2020-08-17,Bats
2020-08-18,Bats
2020-08-19,Bats
2020-08-20,Bats
2020-08-27,Bats
2020-08-29,Bats
2020-08-31,Bats
2020-09-02,Bats
2020-09-03,Bats
2020-09-08,Bats
2020-09-27,Bats
2020-10-15,Bats
2020-10-21,Bats
2020-05-15,Turkeys
2020-05-21,Turkeys
2020-05-23,Turkeys
2020-05-30,Turkeys
2020-06-01,Turkeys
2020-06-10,Turkeys
2020-06-27,Turkeys
2020-06-28,Turkeys
2020-07-22,Turkeys
2020-07-30,Turkeys
2020-08-16,Turkeys
2020-08-18,Turkeys
